price,mrp,discount_percent,rating,review_count,fraud
3781,8746,56.76,3.5,13262,0
3290,3770,12.72,3.2,4547,0
9021,13129,31.29,4.7,14751,0
1372,8016,82.88,1.7,9933,1
14977,16679,10.2,2.6,8303,0
14924,17941,16.81,3.2,1937,0
1446,8355,82.69,4.4,1738,0
11410,15178,24.82,2.3,11190,0
4505,6711,32.87,2.3,9103,0
1519,4992,69.57,2.2,11419,0
15703,16554,5.14,4.7,10954,0
5228,17402,69.95,2.7,12304,0
6670,9512,29.87,2.2,5022,0
6761,10043,32.67,3.0,16299,0
10477,14930,29.82,1.9,19585,0
10264,13327,22.98,3.7,667,0
13375,17452,23.36,3.1,18620,0
2333,4388,46.81,4.2,10556,0
3148,18459,82.94,1.9,13942,1
8390,14163,40.76,4.0,2003,0
2102,5902,64.37,3.1,488,0
13917,16104,13.58,4.2,5010,0
4906,6446,23.89,3.3,18415,0
15822,16859,6.15,3.5,5936,0
473,1991,76.23,1.7,14774,0
5782,8739,33.83,1.6,6920,0
2505,17239,85.46,1.9,18417,1
10156,15861,35.96,3.2,12149,0
3665,4926,25.59,2.4,492,0
2976,10622,71.98,1.7,19390,0
1771,4917,63.98,3.0,7491,0
1933,2088,7.4,2.8,15626,0
1071,1507,28.87,2.3,19961,0
17297,18827,8.12,3.8,16545,0
2143,4660,53.99,4.1,13898,0
8306,8887,6.54,3.1,11037,0
1185,1475,19.64,3.1,4287,0
3887,8009,51.46,3.9,15338,0
1600,11310,85.85,2.9,9749,1
10496,13262,20.85,1.8,17189,0
14469,16000,9.56,1.7,13887,0
1104,10965,89.92,4.7,15271,0
2725,13591,79.95,2.2,8383,0
165,1303,87.31,5.0,11976,0
1168,2043,42.83,4.3,16670,0
2818,11747,76.01,3.1,19708,0
4409,10580,58.32,2.9,13868,0
14611,16231,9.98,4.5,7122,0
962,2782,65.4,2.2,9813,0
3013,7006,56.99,3.9,13913,0
4111,8764,53.09,3.1,15505,0
11772,12753,7.69,3.2,4667,0
3071,3287,6.55,2.4,17794,0
7751,11946,35.12,2.9,14226,0
3990,9348,57.31,3.3,671,0
12611,15223,17.15,2.9,17813,0
5478,6895,20.54,3.6,4,0
3819,12715,69.96,4.7,3311,0
2348,19936,88.22,3.4,13400,0
1259,9318,86.49,3.3,7624,0
4277,4673,8.45,3.7,2638,0
8467,10162,16.68,1.8,16000,0
7015,7794,9.99,4.9,1266,0
13134,19610,33.02,4.9,15781,0
9326,13168,29.17,3.5,3104,0
7255,10599,31.54,3.8,1342,0
12033,16074,25.14,2.7,1462,0
426,2938,85.5,2.6,866,1
6243,7881,20.77,3.6,7756,0
17015,18193,6.47,4.3,5196,0
13136,17420,24.59,2.7,15290,0
997,3188,68.71,3.5,12206,0
3458,11986,71.15,4.0,439,0
1186,4093,71.01,2.2,2358,0
918,4541,79.77,2.4,2687,0
9348,12283,23.89,4.9,16476,0
15326,16768,8.6,4.4,8352,0
2206,2987,26.13,4.3,3600,0
6027,6890,12.52,2.2,12369,0
6347,16173,60.75,4.1,1580,0
6107,8110,24.69,3.5,12079,0
3339,5334,37.39,2.7,13002,0
17420,19115,8.86,1.5,256,0
15716,18439,14.77,3.7,16925,0
14052,17445,19.45,4.6,737,0
6577,12578,47.71,4.9,4751,0
553,3238,82.92,4.1,9231,0
6265,6646,5.73,2.9,4641,0
1697,2552,33.47,2.5,11311,0
11878,13894,14.51,3.7,5156,0
2541,16739,84.81,3.1,15704,0
5715,6839,16.42,3.2,16749,0
1692,11419,85.18,3.2,12310,0
818,1032,20.67,4.4,17730,0
1077,1462,26.27,2.6,1245,0
5078,6533,22.27,4.2,17443,0
11286,15502,27.19,4.2,11640,0
8135,16144,49.6,3.7,17338,0
3179,7308,56.5,3.1,2938,0
3133,16131,80.58,4.3,14099,0
4314,9116,52.67,3.5,13172,0
6395,7185,10.99,3.2,2799,0
3150,5155,38.88,3.3,8682,0
11508,12591,8.6,2.0,557,0
3523,7742,54.49,2.6,5718,0
2693,7164,62.41,3.9,9385,0
4498,17407,74.16,3.8,8366,0
2471,3710,33.37,4.0,17181,0
5126,13004,60.58,4.3,15699,0
594,1158,48.67,4.2,13559,0
7123,8967,20.56,2.7,7391,0
2513,5731,56.15,4.0,5675,0
11414,19471,41.38,3.6,8441,0
2767,4667,40.69,3.8,2577,0
12668,14379,11.9,3.5,10944,0
2854,3056,6.6,3.8,15432,0
11406,14150,19.39,1.9,16628,0
8345,10888,23.35,2.2,15496,0
6784,12032,43.61,2.3,11797,0
1264,10161,87.56,4.1,12610,0
5036,10175,50.5,4.9,1922,0
121,1124,89.2,3.8,8859,0
4831,16084,69.96,4.3,19704,0
2122,16794,87.36,2.7,12695,1
1782,11925,85.06,3.5,17556,0
2896,19065,84.8,5.0,19718,0
8629,10383,16.89,2.8,7350,0
2942,7033,58.16,3.1,19278,0
9685,10489,7.66,4.0,18571,0
3939,10819,63.59,3.9,4488,0
13562,15945,14.94,1.8,8053,0
9788,15164,35.45,4.5,5872,0
348,1414,75.34,3.1,5254,0
8522,10961,22.25,2.5,10620,0
455,2976,84.7,4.8,16472,0
5401,13665,60.48,2.9,2560,0
9295,17979,48.3,1.8,16465,0
4402,5907,25.47,2.1,16100,0
4627,16406,71.79,1.8,16344,0
11114,12320,9.79,4.6,19166,0
6569,18780,65.02,3.3,2954,0
3254,9666,66.33,1.9,17416,0
2445,3932,37.81,3.8,18822,0
2373,3261,27.22,4.9,8503,0
5542,13569,59.15,3.9,917,0
11839,14286,17.12,3.1,17482,0
4949,6371,22.31,2.6,9360,0
6037,6806,11.29,1.7,3144,0
1974,9504,79.22,4.6,11531,0
17061,18436,7.46,2.6,16819,0
4673,6519,28.31,1.9,16521,0
3660,7234,49.4,3.4,18665,0
2293,12569,81.75,2.1,17489,1
14652,15430,5.04,4.5,5318,0
3890,13137,70.39,2.0,8867,0
565,2369,76.14,4.4,8069,0
826,1145,27.85,3.2,15971,0
3529,11735,69.92,3.1,19609,0
1324,8582,84.56,2.8,19662,1
10385,18849,44.9,2.1,14839,0
3710,6693,44.57,2.1,5527,0
3334,10348,67.78,3.1,13483,0
5185,8065,35.7,1.9,14337,0
3002,17082,82.42,2.1,9180,1
1439,4125,65.09,2.0,9463,0
11531,17348,33.53,3.1,6190,0
12095,13060,7.39,4.4,11898,0
4676,14227,67.13,4.6,13222,0
1918,7410,74.11,4.1,19986,0
4294,10550,59.3,2.8,12280,0
4429,5410,18.12,4.0,15030,0
6321,7470,15.38,3.8,4879,0
4267,15149,71.83,3.1,5464,0
4338,15787,72.52,3.7,9272,0
625,3727,83.23,1.8,9063,1
8658,10971,21.07,3.7,5181,0
6095,19676,69.02,3.8,1753,0
1521,6625,77.03,2.9,17062,0
4085,6642,38.49,2.2,12504,0
5124,13779,62.81,4.6,2740,0
8496,13799,38.42,2.5,10837,0
3190,8811,63.79,2.4,4380,0
12635,19843,36.32,4.8,2060,0
7364,16281,54.77,2.9,4216,0
4339,5750,24.52,2.1,143,0
4732,14304,66.91,1.9,13550,0
15710,17267,9.01,4.7,318,0
4742,6235,23.94,2.2,5447,0
2092,7104,70.54,1.5,13576,0
3804,9248,58.86,4.7,8271,0
9001,13584,33.74,4.9,18827,0
8672,19946,56.52,3.4,8282,0
3927,4726,16.89,4.4,12042,0
641,1089,41.05,1.9,5534,0
9824,18362,46.49,2.3,12555,0
844,2114,60.03,3.4,2191,0
993,1325,25.01,2.6,3550,0
4172,7914,47.28,3.0,11923,0
6742,13495,50.04,2.4,11665,0
808,1980,59.15,4.4,7087,0
1320,7708,82.87,1.9,8459,1
10295,17632,41.61,2.3,1630,0
13435,15787,14.9,4.2,187,0
13020,14994,13.16,3.7,10722,0
4113,4623,11.02,3.0,845,0
10493,11704,10.34,1.8,8575,0
9355,14238,34.29,2.3,15983,0
1142,10659,89.28,3.8,12485,0
3232,6693,51.71,4.7,10827,0
5223,9009,42.02,4.7,14304,0
1050,5703,81.58,3.6,18458,0
1506,2094,28.05,4.7,13246,0
9599,10224,6.11,4.3,6908,0
2356,4241,44.44,1.7,12262,0
8844,9659,8.43,3.3,5629,0
2507,2886,13.12,3.9,53,0
3051,16828,81.86,1.7,15040,1
9843,18176,45.84,3.8,17141,0
1143,2551,55.18,4.4,16856,0
7044,17569,59.9,3.3,16511,0
6639,9730,31.76,4.5,7978,0
2302,13462,82.89,3.1,643,0
2629,14536,81.91,3.7,16401,0
5033,5823,13.56,3.5,366,0
3640,7209,49.5,2.9,19295,0
4331,14434,69.99,1.8,11731,0
3257,3570,8.74,1.6,16181,0
3260,6200,47.41,2.5,14394,0
6738,13524,50.18,4.0,4181,0
17102,18813,9.09,4.6,2901,0
1548,7452,79.22,1.8,8948,0
1922,9670,80.12,2.1,5498,1
5509,6234,11.63,3.0,6655,0
9888,13490,26.7,3.2,6698,0
2309,6326,63.49,2.5,4347,0
1327,2202,39.73,4.5,13798,0
1924,10899,82.34,2.7,4192,1
2839,3482,18.44,1.9,16814,0
9898,19202,48.45,2.7,19207,0
1085,3732,70.92,3.9,18974,0
13648,18435,25.97,3.9,11127,0
835,2965,71.81,2.1,16587,0
6504,7984,18.53,3.6,17088,0
6521,9681,32.64,2.2,8986,0
2265,5903,61.62,2.3,12184,0
9000,15250,40.98,3.2,5766,0
1062,4104,74.11,4.0,8090,0
4050,13738,70.51,3.9,19484,0
8699,11575,24.84,4.9,6675,0
3835,11242,65.89,4.2,2140,0
1332,3960,66.35,2.2,9924,0
6699,11436,41.42,4.8,10184,0
5135,5827,11.87,4.6,18237,0
1598,4866,67.16,2.3,14298,0
4074,13479,69.77,3.4,11713,0
6547,10313,36.51,1.7,691,0
3621,14564,75.13,3.0,10248,0
13260,17017,22.08,2.1,2244,0
1337,1564,14.51,3.5,7877,0
5059,8028,36.98,2.2,18697,0
3172,16984,81.32,3.7,11615,0
2459,2636,6.71,4.3,10702,0
11407,18444,38.15,3.3,10371,0
1845,6358,70.97,4.6,11984,0
8205,19764,58.48,3.5,5887,0
8370,10042,16.64,4.3,6670,0
1214,4078,70.23,1.6,4896,0
4449,5088,12.54,4.8,17938,0
14342,16179,11.35,4.1,18284,0
2093,3171,33.98,4.0,5456,0
1803,16733,89.22,3.1,13655,0
1823,11227,83.76,4.8,20000,0
9887,12156,18.66,1.9,18882,0
5025,17815,71.79,4.3,16253,0
1982,9450,79.02,2.3,11487,0
3775,8055,53.13,1.6,12392,0
1836,2354,21.98,3.2,5046,0
12780,16244,21.32,2.5,13634,0
7104,10381,31.56,2.5,1609,0
14033,14826,5.35,1.6,16836,0
10261,12013,14.58,3.2,4030,0
7419,18158,59.14,3.6,17644,0
12960,16465,21.29,3.0,1898,0
4885,5388,9.32,2.1,15081,0
2683,19314,86.11,1.7,11598,1
2890,11233,74.27,4.5,13455,0
14350,18788,23.62,3.4,16196,0
3863,5973,35.32,3.1,18756,0
5596,11116,49.66,4.7,13340,0
3072,15486,80.16,4.4,6401,0
8041,17883,55.03,1.7,14446,0
12718,17040,25.36,4.4,10812,0
13193,14104,6.45,3.4,19477,0
6090,14673,58.49,4.3,10728,0
4737,5153,8.07,1.6,15645,0
6108,17171,64.42,4.6,13628,0
1073,8046,86.65,4.4,6588,0
4904,10446,53.05,2.8,3236,0
4668,8722,46.47,1.9,15009,0
4049,7157,43.41,2.2,4542,0
11223,12424,9.66,3.7,9325,0
961,1560,38.37,5.0,7662,0
1703,11705,85.44,3.2,13139,0
2275,17108,86.7,4.2,17424,0
1730,2553,32.2,3.9,19857,0
2997,4263,29.68,3.8,12604,0
8952,14266,37.24,4.9,4904,0
2764,3669,24.64,2.0,19311,0
4036,8957,54.94,4.2,6918,0
3584,8869,59.59,2.3,1257,0
2397,13926,82.78,3.5,16415,0
1547,1896,18.41,2.1,10120,0
2430,14042,82.69,1.9,17418,1
6094,19226,68.3,2.7,11915,0
6300,8155,22.74,3.0,3843,0
320,2131,84.98,3.5,3736,0
1547,1821,15.04,4.5,8834,0
1567,2399,34.66,4.3,11018,0
1171,7306,83.96,3.4,12902,0
12408,15893,21.92,4.1,12163,0
4414,19766,77.67,2.8,15386,0
1272,3257,60.94,4.6,17510,0
1818,3041,40.21,1.6,7042,0
3856,15170,74.58,1.6,5835,0
1601,5857,72.66,2.9,16844,0
6103,15571,60.8,3.2,16545,0
6060,12570,51.78,2.2,164,0
10219,15285,33.14,3.7,10587,0
1438,2800,48.62,4.4,3632,0
4802,5319,9.71,3.0,17429,0
7219,14758,51.08,4.4,14046,0
9784,16238,39.74,4.4,10012,0
7583,19379,60.87,4.8,1922,0
3586,4805,25.37,2.4,13391,0
1428,11436,87.51,3.1,8730,0
1887,11042,82.91,2.4,4234,1
4993,6346,21.31,3.6,19763,0
4684,14403,67.47,4.7,10251,0
8659,12310,29.66,1.8,2661,0
2335,2606,10.4,2.7,11126,0
1416,6472,78.12,3.4,4209,0
4873,6267,22.24,4.6,12517,0
8710,18957,54.05,3.5,19022,0
10831,16126,32.83,4.5,10310,0
7130,12533,43.11,4.9,4920,0
11239,17486,35.72,4.9,95,0
11516,18956,39.24,2.5,10632,0
2326,10565,77.98,4.3,12369,0
6379,8964,28.83,3.7,337,0
6623,7899,16.15,3.4,9561,0
1584,3984,60.22,1.6,3125,0
1535,8636,82.22,4.9,10391,0
4288,7222,40.62,2.8,17771,0
9970,14696,32.15,2.6,10907,0
14002,15211,7.95,2.1,4246,0
12938,15139,14.54,4.0,19937,0
1276,3127,59.17,2.8,9932,0
13304,17196,22.63,3.3,429,0
6252,12561,50.22,3.3,17497,0
12337,13682,9.83,4.9,7518,0
6801,14346,52.59,4.3,15230,0
5157,8573,39.84,4.6,4108,0
847,4579,81.49,3.3,12539,0
1400,2120,33.95,3.1,13873,0
5527,14989,63.12,2.3,10736,0
3654,6044,39.54,3.9,7609,0
8087,15612,48.2,3.9,10783,0
8974,18780,52.21,3.6,13338,0
5161,9458,45.42,2.1,3624,0
1786,3266,45.31,3.3,11519,0
3072,3972,22.64,2.8,17769,0
741,1799,58.8,3.2,16460,0
2896,10854,73.31,4.1,12739,0
5795,9388,38.26,1.6,2751,0
1475,4450,66.84,3.7,12474,0
8680,16657,47.89,2.0,13805,0
2775,10959,74.67,2.4,10922,0
4822,10012,51.84,5.0,2730,0
1717,9563,82.04,1.9,4824,1
1639,3575,54.13,4.2,13499,0
1032,4223,75.56,2.2,13925,0
2492,5426,54.06,3.6,15452,0
3586,8580,58.2,3.0,7514,0
1063,3987,73.32,2.7,14073,0
3436,4526,24.08,4.0,7627,0
3783,9867,61.66,2.3,6808,0
10017,17762,43.6,2.4,18838,0
10552,13909,24.13,3.6,19415,0
3500,13404,73.88,2.5,13616,0
11517,17460,34.03,2.4,5539,0
9752,18830,48.21,3.5,19056,0
8739,9400,7.02,3.6,12567,0
1661,4302,61.39,3.4,2163,0
13339,16688,20.06,4.0,4778,0
3927,12392,68.31,2.7,18444,0
798,1358,41.22,4.6,1292,0
5671,16322,65.25,2.5,6495,0
14650,19957,26.59,3.3,5669,0
3894,5182,24.85,3.9,9107,0
10331,17292,40.25,4.0,14864,0
3174,4080,22.2,3.1,17470,0
5589,15075,62.92,2.6,1222,0
8943,10931,18.18,3.3,19806,0
6226,8284,24.83,3.7,17376,0
2153,3327,35.27,1.7,12372,0
5923,13585,56.4,2.3,1114,0
3645,14367,74.63,4.9,10804,0
4951,12017,58.79,1.6,11051,0
12655,14310,11.56,4.5,9555,0
1008,3911,74.2,2.8,17198,0
15158,18923,19.9,4.5,17834,0
3105,4741,34.5,2.3,5668,0
3223,10174,68.31,3.5,6533,0
2330,4625,49.61,4.1,13814,0
2318,5092,54.46,1.7,13845,0
6828,10265,33.48,3.1,18222,0
12024,13880,13.37,3.9,9224,0
1439,2227,35.35,4.0,16805,0
10189,19458,47.63,3.6,11136,0
5227,7670,31.85,3.2,11344,0
8362,19011,56.01,3.9,13421,0
5125,15750,67.45,5.0,13246,0
1841,16579,88.89,1.7,5426,1
2374,13677,82.64,3.1,12221,0
3593,11724,69.35,3.5,8338,0
7630,8687,12.16,3.1,1285,0
14175,18434,23.1,2.7,8340,0
1513,3086,50.94,1.5,901,0
971,1444,32.72,2.2,17650,0
